CHARACTER	DIALOGUE
MINISTER OF DEFENSE	You need make no such choice, Your Highness. Andromeda must.be saved, and the city too.
REPHEUS	Impossible. No... We need only the will to do it.
KEPHEUS	You spoke the words -- the monster is indestructible! How can that be? Amoun alone takes notice: he spins toward Perseus, with
AMOUN	Perseus! You had something you wanted to say to the King? All eyes turn to Perseus, who shrinks before them, self-
PERSEUS	What? No, Master Amoun. I'm listening.
AMOUN	You're 'listening'? We're talking about the precious life of your betrothed. Perseus meets his gaze, confused.
PERSEUS	I'm a newcomer here. I would not presume to tell these men --
AMOUN	Exactly! A newcomer with a fresh perspective. Share your thoughts with the King, your future father- in-law. The ministers are puzzled by Amoun's persistence. Perseus, uncertainly --
PERSEUS	I know that I am young and have not seen much of the world, but it seems to me that nothing is indestructible. The Ministers react to the young man's arrogance.
SPYROS (O.S.)	I am far from young and have seen much of the world... and I agree with my son. Everyone turns to the new arrival: Perseus' adoptive
PERSEUS	Father, how did you find me?
KEPHEUS	I thought this boy's father was a God. How does a stranger walk unmolested into the Throne Room of the King?
AMOUN	I sent for him, Lord. This good man raised Perseus from infancy. He will help him now.
KEPHEUS	Help him with what?
SPYROS	With whatever is needed... Perseus approaches the King. Surprising himself --
PERSEUS	He will help me destroy Leviathan. Spyros does a double-take, then swallows: "Yeah, okay, sure."
UP ON THE BALCONY	Andromeda reacts, falling in love with Perseus.
KEPHEUS	But how? Perseus has no idea.
AMOUN	Majesty, we can seek the counsel of the Norn Sisters of Skolothia. They know the hidden ways of the Gods. If Leviathan can be slain, they'll know how to do it.
PERSEUS	We have thirty days to find its weakness. Twenty-nine.
PERSEUS	We'll leave tonight.
KEPHEUS	With what army? I dare not weaken our forces when the city is about to be besieged.
PERSEUS	We'll go alone. Yes. Give us a map. Amoun laughs. When some of the others join in, the King
AMOUN	My King, with your permission... The King assents, seemingly lost. Amoun speaks to Perseus.
AMOUN	I'll give you a map and much more. I'll go with you and bring a small band of comrades to help you on your mission. We can leave at first light. Diokles, the map. The men move to the work area, where the Aide selects a
PERSEUS' POV	Andromeda, up in the balcony, has made herself visible only to him. She silently mouths these words -- "Thank... you."
AT THE MAP	which has been hung for all to see, Amoun uses a pointer.
AMOUN	We head north on the Via Dahlia. If we can make it to the Disputed Territories... MOVE IN ON the tip of Amoun's pointer on the
AMOUN (O.S.)	. we'll join the Cleon desert legion, the most formidable unit in all the army... With their escort, we can safely reach our destination in Skolothia, which lies to the east... First, two fearsome Mongols, MONGKE and TAMBURLANE.
AMOUN (V.0.)	Our guides will be Mongke and Tamburlane, father and son monster hunters from the Kingdom of the Iron Horde. Next, THE PRAETORIAN GUARD, commanded by a square-jawed
AMOUN (V.0.)	Our escort will be a detachment of the Praetorian Guard, led by Commander Draco -- the staunchest security force in Joppa. Next, on a stunning pale horse, a pale rider -- the
PERSEUS (V.0.)	Why do we bring the Earth Goddess into this danger?
AMOUN (V.0.)	I thank the stars we have her. Besides, she takes her orders from an authority much greater than I. Next, Spyros; horseback riding is not one of his many
