film_title,bechdel_test,male_rating,male_num_reviews,female_rating,female_num_reviews,majority_reviewer_gender,gender_who_preferred,large_diff
White Bear,pass,8,850,8.2,169,male,female,FALSE
White House Down,fail,6.3,69989,6.9,15273,male,female,TRUE
The Wine of Summer,pass,7.5,8,7.9,6,male,female,TRUE
Witching and Bitching,pass,6.3,2204,6.3,410,male,equal,FALSE
The Wolf of Wall Street,pass,8.4,215524,8.1,49005,male,male,TRUE
The Wolverine,pass,6.8,145184,6.8,24735,male,equal,FALSE
World War Z,pass,7,208781,7.2,41823,male,female,FALSE
The World's End,fail,7,76976,7,13005,male,equal,FALSE
Zipi y Zape y el club de la canica,fail,5.4,176,5.9,35,male,female,TRUE
Zombie Hunter,pass,3.5,954,3.4,120,male,male,FALSE
Zum Geburtstag,fail,5.6,46,6.4,8,male,female,TRUE
2 Days in New York,pass,6,6148,6.2,2543,male,female,FALSE
21 Jump Street,fail,7.2,175198,7.3,47769,male,female,FALSE
A Late Quartet,pass,7.1,4840,7.1,1475,male,equal,FALSE
About Cherry,pass,4.8,3722,4.9,1204,male,female,FALSE
Abraham Lincoln: Vampire Hunter,pass,5.9,74765,6.1,18192,male,female,FALSE
Act of Valor,fail,6.5,39145,6.8,4232,male,female,FALSE
Ahi va el diablo,pass,5.6,665,5.8,147,male,female,FALSE
All I Want Is Everything,pass,no data,no data,no data,no data,no data,no data,
The Amazing Spider-Man,fail,7.1,219364,7.5,47183,male,female,TRUE
American Mary,pass,6.2,6376,6.7,1872,male,female,TRUE
American Warships,pass,2.8,1374,3.8,115,male,female,TRUE
Amour,pass,7.8,35449,7.9,12277,male,female,FALSE
The Angels' Share,fail,7,9721,7.1,2320,male,female,FALSE
Anna Karenina,fail,6.5,23077,6.9,20917,equal,female,TRUE
Arachnoquake,pass,2.8,841,3.3,149,male,female,TRUE
Arbitrage,fail,6.7,24149,6.5,5342,male,male,FALSE
Argo,pass,7.8,225281,8,51686,male,female,FALSE
Attack of the 50ft Cheerleader,pass,4.6,466,3.8,56,male,male,TRUE
Augustine,pass,6.1,420,6,172,male,male,FALSE
The Avengers,fail,8.2,458121,8.4,109971,male,female,FALSE
Bachelorette,pass,5.2,12567,5.5,12400,equal,female,FALSE
Bad Parents,pass,3.3,135,3.3,55,male,equal,FALSE
Barbara,pass,7.1,4105,7.3,1207,male,female,FALSE
Barfi!,fail,8.3,25033,8.4,3076,male,female,FALSE
Batman: The Dark Knight Returns part 1,pass,8,16054,7.8,1137,male,male,FALSE
Battleship,fail,5.9,123148,6.2,19614,male,female,FALSE
The Bay,fail,5.6,10181,5.6,2316,male,equal,FALSE
BearCity 2: The Proposal,pass,6.4,219,6.3,22,male,male,FALSE
Beasts of the Southern Wild,pass,7.3,38967,7.5,12237,male,female,FALSE
Berberian Sound Studio,fail,6.3,4615,5.9,601,male,male,TRUE
Best Man Down,pass,6.5,3335,6.3,909,male,male,FALSE
Beyond the Hills,pass,7.6,4286,7.7,1365,male,female,FALSE
Big Miracle,pass,6.3,7082,6.8,3887,male,female,TRUE
Bikini Spring Break,pass,3,831,3.1,66,male,female,FALSE
Bitchkram,pass,5.8,288,6.2,223,male,female,TRUE
Black Rock,pass,4.7,2662,4.8,877,male,female,FALSE
Bletchley Circle,pass,7.7,854,8.1,1043,female,female,TRUE
Blood Fare,fail,3.1,47,3.6,19,male,female,TRUE
Blue Like Jazz,pass,5.9,1278,6.1,548,male,female,FALSE
The Body,pass,7.2,3870,7.5,1122,male,female,FALSE
The Bourne Legacy,pass,6.7,128757,6.9,22173,male,female,FALSE
Brave,pass,7.1,104900,7.5,45961,male,female,TRUE
The Broken Circle Breakdown,pass,7.7,8708,8.1,3279,male,female,TRUE
Bullet to the Head,fail,5.8,24640,5.6,1938,male,male,FALSE
Byzantium,pass,6.5,12901,6.7,4123,male,female,FALSE
Call Girl,pass,6.7,1537,6.6,412,male,male,FALSE
Call Me Kuchu,pass,7.5,294,7.8,93,male,female,FALSE
The Campaign,fail,6.2,63866,6,11783,male,male,FALSE
Celeste and Jesse Forever,pass,6.5,9215,6.8,5546,male,female,FALSE
Cheesecake Casserole,pass,6.7,225,6.2,128,male,male,TRUE
Chernobyl Diaries,fail,5,29873,4.9,7946,male,male,FALSE
Chronicle,fail,7.1,122423,6.9,21209,male,male,FALSE
Cigarette Ki Tarah,pass,3.3,13,7,1,male,female,TRUE
Citadel,fail,5.4,2982,5.6,692,male,female,FALSE
Cloud Atlas,pass,7.6,154195,7.7,36221,male,female,FALSE
Cockneys vs Zombies,fail,5.9,8280,6.1,1170,male,female,FALSE
Cocktail,pass,6,5346,6.3,725,male,female,FALSE
The Company You Keep,fail,6.4,13773,6.4,2998,male,equal,FALSE
Compliance,pass,6.4,13755,6.4,2775,male,equal,FALSE
Contraband,pass,6.5,66328,6.5,9229,male,equal,FALSE
Cosmopolis,fail,5.1,20838,4.9,6520,male,male,FALSE
Croczilla,fail,4.3,212,4.3,19,male,equal,FALSE
Dabangg 2,fail,5,5566,5.2,414,male,female,FALSE
The Dark Knight Rises,fail,8.6,562587,8.6,105482,male,equal,FALSE
Dark Shadows,pass,6.2,92612,6.4,42066,male,female,FALSE
Das Leben ist nichts fur Feiglinge,pass,6.6,281,6.9,61,male,female,TRUE
Das Wochenende,pass,5.7,75,6.7,21,male,female,TRUE
Dead Man's Burden,fail,5.4,223,5.4,44,male,equal,FALSE
Decay,pass,3.9,206,3.5,33,male,male,TRUE
Den skaldede frisor,pass,6.5,3730,6.7,2007,male,female,FALSE
The Devil Inside,pass,4.1,17784,4.2,6121,male,female,FALSE
The Dictator,fail,6.4,125114,6.2,20483,male,male,FALSE
