film_title,male_rating,female_rating
Salmon Fishing in the Yemen,6.8,7
Samsara,8.4,8.5
Saving Face,8,8
Scream 4,6.2,6.3
Shame,7.3,7.2
She Monkeys,5.6,5.7
Sherlock Holmes: A Game of Shadows,7.5,7.7
The Shunning,6.1,6.4
Singham,6.7,6.1
The Sitter,5.7,5.7
The Skin I Live In,7.6,7.8
Sleeping Beauty,5.3,5.1
Sleeping Sickness (Schlafkrankheit),6.4,6.2
Sleepless Night,6.7,6.5
The Smurfs,5.4,6
Snow Flower and the Secret Fan,5.7,6.5
Soul Surfer,6.8,7.6
Soul Surfer 2,5.3,6.1
Sound of My Voice,6.7,6.7
Source Code,7.5,7.4
The Source,7,7.7
Starbuck,7.3,7.5
Straw Dogs,5.8,5.9
Sucker Punch,6.1,6
The Sunset Limited,7.4,7.4
Super 8,7.1,7.1
Take Shelter,7.5,7.3
