M	CHARACTER	DIALOGUE
M	SNOW WHITE	A what?
M	ERIC	You want me to call it by another name? He doesn't need to. It's an animal dropping. Snow White winces She catches the look of fear in his eyes as he gazes around the
M	ERIC	Stay here. He moves away, though the trees, tracking prey. He hears the
F	SARA	Eric. He stops, looks to -- An outcropping of rocks, surrounded by dense forest. From
M	ERIC	Sara?...
M	BACK TO SNOW WHITE	She hears him call out and follows his tracks.
M	BACK TO HUNTSMAN	Sara holds out her hand.
M	ERIC	Am I dreaming?
F	SARA	Touch me and see for yourself. Eric shakes his head, looks around, tries to fight it, but...
F	SARA	You weren't there to save me, Eric. I called for you but you never came. Snow White appears behind and sees -- But Eric only sees Sara and he continues to move toward her.
F	SARA	Where were you, Eric? Come to me now. Protect me now.
M	ERIC	Sara, I'm so sorry. Forgive me, please forgive me. Give me peace. Sara... He takes another step toward her and -- Buckles - THWACK! Snow White hits him behind his knees with a piece of wood.
M	SNOW WHITE	She's not real! Not real! Do you hear me?! He does and calms. She gets off him and he sits up, fatigued He reaches for his flask -- pours the last single drop into Snow White catches up.
M	SNOW WHITE	Who is she? The one you bargained for. The one that spoke to you. Who is Sara?
M	ERIC	A name you'll not mention again. He tosses a knife to her. She's surprised but catches it.
M	SNOW WHITE	What?
M	ERIC	Feel its weight. One hand to the other. She shakes her head but does so.
M	ERIC	Now hold it - business end pointed at me.
M	SNOW WHITE	Why are you?-- He lunges at her and she raises the blade.
M	ERIC	Which is your lead foot?
M	SNOW WHITE	What do you mean? He jumps at her again and she puts her right foot forward,
M	ERIC	Now stay back. You're too small to attack. You have to parry; use your opponents strength against him. Raise your opposing forearm. She does. He comes closer.
M	ERIC	With it you block and deflect an opposing thrust. You'll lose meat but you won't die from it. Wait until I'm close. He steps forward.
M	ERIC	Not yet. Watch my hands, not my eyes. He moves even closer.
M	ERIC	Not yet. Not until you can feel my breath. He moves right up to her.
M	ERIC	Now. Their faces are inches apart.
M	ERIC	This close. Drive it through me. To the hilt. Now look in my eyes. Don't pull it out 'til you see my soul. Their eyes are still locked.
